27          Number of colors in the file
 Name                       RGB       R     G     B        C        M        Y        K
black                               0    0    0    0   0.000   0.000   0.000   1.000
red                          16711680  255    0    0   0.000   1.000   1.000   0.000
yellow                       16776960  255  255    0   0.000   0.000   1.000   0.000
green                           32768    0  128    0   1.000   0.000   1.000   0.498
cyan                            65535    0  255  255   1.000   0.000   0.000   0.000
violet                       15631086  238  130  238   0.000   0.454   0.000   0.067
magenta                      16711935  255    0  255   0.000   1.000   0.000   0.000
maroon                        8388608  128    0    0   0.000   1.000   1.000   0.498
dark_red                      9109504  139    0    0   0.000   1.000   1.000   0.455
brown                        10824234  165   42   42   0.000   0.745   0.745   0.353
firebrick                    11674146  178   34   34   0.000   0.809   0.809   0.302
orange                       16753920  255  165    0   0.000   0.353   1.000   0.000
gold                         16766720  255  215    0   0.000   0.157   1.000   0.000
teal                            32896    0  128  128   1.000   0.000   0.000   0.498
dark_cyan                       35723    0  139  139   1.000   0.000   0.000   0.455
aqua                            65535    0  255  255   1.000   0.000   0.000   0.000
turquoise                     4251856   64  224  208   0.714   0.000   0.071   0.122
sky_blue                      8900331  135  206  235   0.426   0.123   0.000   0.078
navy                              128    0    0  128   1.000   1.000   0.000   0.498
blue                              255    0    0  255   1.000   1.000   0.000   0.000
indigo                        4915330   75    0  130   0.423   1.000   0.000   0.490
dark_magenta                  9109643  139    0  139   0.000   1.000   0.000   0.455
purple                        8388736  128    0  128   0.000   1.000   0.000   0.498
pink                         16761035  255  192  203   0.000   0.247   0.204   0.000
sienna                       10506797  160   82   45   0.000   0.488   0.719   0.373
tan                          13808780  210  180  140   0.000   0.143   0.333   0.176
azure                        15794175  240  255  255   0.059   0.000   0.000   0.000
